臺灣 Taiwan,#genre#
民視第一台,https://api.hualong.eu.org/api/Smartv.php?id=lunghuajingdian_twn
民視台灣台,https://api.hualong.eu.org/api/Smartv.php?id=ftvtaiwan_twn
民視新聞台,https://api.hualong.eu.org/api/Smartv.php?id=ftvnew_taiwan
台視,https://api.hualong.eu.org/api/Smartv.php?id=ttv_taiwan	
台視新聞台,https://api.hualong.eu.org/api/Smartv.php?id=ttvnews_twn
中視,https://api.hualong.eu.org/api/Smartv.php?id=zhongshihd_twn
中視新聞台,https://api.hualong.eu.org/api/Smartv.php?id=zhongshinews_twn
中視經典,https://api.hualong.eu.org/api/Smartv.php?id=zhongshi_twn
華視,https://api.hualong.eu.org/api/Smartv.php?id=ctshd_twn
華藝綜合,https://api.hualong.eu.org/api/Smartv.php?id=weishichinese_twn
大愛一台,https://api.hualong.eu.org/api/Smartv.php?id=daai_twn
寰宇新聞台,https://api.hualong.eu.org/api/Smartv.php?id=huanyuxinwen_twn
寰宇財經台,https://api.hualong.eu.org/api/Smartv.php?id=huanyutaiwan_twn
年代新聞台,https://api.hualong.eu.org/api/Smartv.php?id=niandainews_twn
愛爾達影劇,https://api.hualong.eu.org/api/Smartv.php?id=eltayingju_twn
愛爾達體育 1,https://api.hualong.eu.org/api/Smartv.php?id=eltasport_twn
愛爾達體育 2,https://api.hualong.eu.org/api/Smartv.php?id=eltasport2_twn
愛爾達體育 3,https://api.hualong.eu.org/api/Smartv.php?id=eltasport3_twn
ELEVEN 1,https://api.hualong.eu.org/api/Smartv.php?id=golfchannel_twn
博斯網球,https://api.hualong.eu.org/api/Smartv.php?id=bositennis_twn
博斯運動1,https://api.hualong.eu.org/api/Smartv.php?id=bosisport1_twn
博斯運動2,https://api.hualong.eu.org/api/Smartv.php?id=bosisport2_twn
博斯高球1,https://api.hualong.eu.org/api/Smartv.php?id=bosigolf1_twn
博斯高球2,https://api.hualong.eu.org/api/Smartv.php?id=bosigolf2_twn
探索亞洲,https://api.hualong.eu.org/api/Smartv.php?id=discoverytwn_twn
探索動力,https://api.hualong.eu.org/api/Smartv.php?id=discoveryturbo_twn
國家地理,https://api.hualong.eu.org/api/Smartv.php?id=natgeohd_twn
野生動物,https://api.hualong.eu.org/api/Smartv.php?id=natgeowild_twn
動物星球,https://api.hualong.eu.org/api/Smartv.php?id=animalplanet_twn
時尚,https://api.hualong.eu.org/api/Smartv.php?id=fashiontv_twn
Discovery Asia,https://api.hualong.eu.org/api/Smartv.php?id=discoverytwn_twn
Discovery HD,https://api.hualong.eu.org/api/Smartv.php?id=discoveryhd_twn
東森戲劇,https://api.hualong.eu.org/api/Smartv.php?id=ettvdrama
東森洋片,https://api.hualong.eu.org/api/Smartv.php?id=ettvwestern
東森綜合,https://api.hualong.eu.org/api/Smartv.php?id=ettvzhonghe
東森財經新聞,https://api.hualong.eu.org/api/Smartv.php?id=ettvcaijing_twn
東森電影,https://api.hualong.eu.org/api/Smartv.php?id=ettvmovie
緯來日本台,https://api.hualong.eu.org/api/Smartv.php?id=videolandjapan
緯來體育台,https://api.hualong.eu.org/api/Smartv.php?id=videolandsport
美亞電影,https://api.hualong.eu.org/api/Smartv.php?id=meiyamovie_twn
BBC World News,https://api.hualong.eu.org/api/Smartv.php?id=bbcnews_twn
Bloomberg News,https://api.hualong.eu.org/api/Smartv.php?id=bloomberg_twn
Fox News,https://api.hualong.eu.org/api/Smartv.php?id=foxnews_twn
阿里郎,https://api.hualong.eu.org/api/Smartv.php?id=arirang_twn
CN卡通,https://api.hualong.eu.org/api/Smartv.php?id=momo1_twn
靖天卡通台,https://api.hualong.eu.org/api/Smartv.php?id=jingtiancartoon_twn
靖天國際台,https://api.hualong.eu.org/api/Smartv.php?id=jingtianintl_twn
非凡新聞台,https://api.hualong.eu.org/api/Smartv.php?id=feifannews_twn
龍祥時代,https://api.hualong.eu.org/api/Smartv.php?id=lungxiangtime_twn
龍華偶像,https://api.hualong.eu.org/api/Smartv.php?id=lunghuaidol_twn
龍華戲劇,https://api.hualong.eu.org/api/Smartv.php?id=lunghuaxiju_twn
龍華洋片,https://api.hualong.eu.org/api/Smartv.php?id=lunghuawestern_twn
龍華經典,https://api.hualong.eu.org/api/Smartv.php?id=lunghuajingdian_twn
龍華電影,https://api.hualong.eu.org/api/Smartv.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,https://api.hualong.eu.org/api/Smartv.php?id=TV1
TV1(備用),https://api.hualong.eu.org/api/Smartv.php?id=TV1_backup
TV2,https://api.hualong.eu.org/api/Smartv.php?id=TV2
TV3,https://api.hualong.eu.org/api/Smartv.php?id=TV3
TV3(備用),https://api.hualong.eu.org/api/Smartv.php?id=tv3_twn
NTV7,https://api.hualong.eu.org/api/Smartv.php?id=NTV7
TV8,https://api.hualong.eu.org/api/Smartv.php?id=TV8
TV9,https://api.hualong.eu.org/api/Smartv.php?id=TV9
Warna,https://api.hualong.eu.org/api/Smartv.php?id=Warna-O
Warna(備用),https://api.hualong.eu.org/api/Smartv.php?id=Warna
Ria,https://api.hualong.eu.org/api/Smartv.php?id=Ria-0
Ria(備用),https://api.hualong.eu.org/api/Smartv.php?id=Ria49
Ria-3,https://api.hualong.eu.org/api/Smartv.php?id=Ria_quanjia
Al-Hijrah,https://api.hualong.eu.org/api/Smartv.php?id=Alhijrah
Al-Hijrah(備用),https://api.hualong.eu.org/api/Smartv.php?id=Alhijrah_backup
Awani,https://api.hualong.eu.org/api/Smartv.php?id=Awani
Bernama,https://api.hualong.eu.org/api/Smartv.php?id=Bernama
Prima,https://api.hualong.eu.org/api/Smartv.php?id=Prima-0
Prima(備用),https://api.hualong.eu.org/api/Smartv.php?id=Prima49
Ceria,https://api.hualong.eu.org/api/Smartv.php?id=Ceria
Astro MTV,https://api.hualong.eu.org/api/Smartv.php?id=AstroMTV
Mecca Live HD,https://api.hualong.eu.org/api/Smartv.php?id=quran_mido
Madinah HD,https://api.hualong.eu.org/api/Smartv.php?id=sunnah_mido
Oasis,https://api.hualong.eu.org/api/Smartv.php?id=Oasis
HBO HD,https://api.hualong.eu.org/api/Smartv.php?id=Hbo
HBO Signature,https://api.hualong.eu.org/api/Smartv.php?id=Hbosignature
HBO Hits,https://api.hualong.eu.org/api/Smartv.php?id=Hbohits
NatGeo Wild HD,https://api.hualong.eu.org/api/Smartv.php?id=Natgeowild
Cartoon Network,https://api.hualong.eu.org/api/Smartv.php?id=Cn
Nickelodeon,https://api.hualong.eu.org/api/Smartv.php?id=Nickelodeon
Nick Jr,https://api.hualong.eu.org/api/Smartv.php?id=Nickjr
Citra,https://api.hualong.eu.org/api/Smartv.php?id=Citra
Sensasi,https://api.hualong.eu.org/api/Smartv.php?id=Sensasi
Aura,https://api.hualong.eu.org/api/Smartv.php?id=Aura
Rania,https://api.hualong.eu.org/api/Smartv.php?id=Rania
Boo,https://api.hualong.eu.org/api/Smartv.php?id=Boo
Awesome TV,https://api.hualong.eu.org/api/Smartv.php?id=Awesome_mega
Sony HD,https://api.hualong.eu.org/api/Smartv.php?id=SetOne
KBS World,https://api.hualong.eu.org/api/Smartv.php?id=KBS
TvN,https://api.hualong.eu.org/api/Smartv.php?id=TVN
Astro Premier,https://api.hualong.eu.org/api/Smartv.php?id=Astropremier
AEC,https://api.hualong.eu.org/api/Smartv.php?id=AEC
華麗台 HD,https://api.hualong.eu.org/api/Smartv.php?id=Wlt
歡喜台 HD,https://api.hualong.eu.org/api/Smartv.php?id=Huahee
歡喜台(備用),https://api.hualong.eu.org/api/Smartv.php?id=Huahee_backup
Astro QJ,https://api.hualong.eu.org/api/Smartv.php?id=Quanjia
TVB Jade,https://api.hualong.eu.org/api/Smartv.php?id=Tvbjade
TVBS Asia,https://api.hualong.eu.org/api/Smartv.php?id=Tvbasia
TVB Entertainment,https://api.hualong.eu.org/api/Smartv.php?id=Tvbentertainment
TVB Classic,https://api.hualong.eu.org/api/Smartv.php?id=Tvbclassic
AOD,https://api.hualong.eu.org/api/Smartv.php?id=AodHD
One,https://api.hualong.eu.org/api/Smartv.php?id=One_mega
TVB 星河台,https://api.hualong.eu.org/api/Smartv.php?id=Xinhe
愛奇藝,https://api.hualong.eu.org/api/Smartv.php?id=Qiyi
Animal Planet (Eng),https://api.hualong.eu.org/api/Smartv.php?id=AnimalPlanet
tvN Movie,https://api.hualong.eu.org/api/Smartv.php?id=Tvnmovie
CNN(備用),https://api.hualong.eu.org/api/Smartv.php?id=cnn_twn
Celestial Classic,https://api.hualong.eu.org/api/Smartv.php?id=Celestial2
CNBC,https://api.hualong.eu.org/api/Smartv.php?id=cnbc_twn
RTM Sports HD,https://api.hualong.eu.org/api/Smartv.php?id=Rtmsport
TLC,https://api.hualong.eu.org/api/Smartv.php?id=Tlc
CNA,https://api.hualong.eu.org/api/Smartv.php?id=cna
AFC 亞洲旅遊台,https://api.hualong.eu.org/api/Smartv.php?id=asiatravel_twn
BBC World News,https://api.hualong.eu.org/api/Smartv.php?id=bbcnews_twn
Foodnetwork Hd,https://api.hualong.eu.org/api/Smartv.php?id=Foodnetwork_mega
HGTV,https://api.hualong.eu.org/api/Smartv.php?id=HGTV
Arena,https://api.hualong.eu.org/api/Smartv.php?id=Arena
Goshop,https://api.hualong.eu.org/api/Smartv.php?id=Goshop
Celestial Movies HD,https://api.hualong.eu.org/api/Smartv.php?id=Celestial_mega
Arena 2,https://api.hualong.eu.org/api/Smartv.php?id=Arena2
Axn HD,https://api.hualong.eu.org/api/Smartv.php?id=Axn
Paramount Network,https://api.hualong.eu.org/api/Smartv.php?id=Paramountnetwork
BolaArena 1,https://api.hualong.eu.org/api/Smartv.php?id=Bolaarena1
Astrol Kplus,https://api.hualong.eu.org/api/Smartv.php?id=Kplus
Rock Actions,https://api.hualong.eu.org/api/Smartv.php?id=Rockaction
Bloomberg News,https://api.hualong.eu.org/api/Smartv.php?id=bloomberg_twn
Al-Jazeera,https://api.hualong.eu.org/api/Smartv.php?id=aljazeera_twn
Rock Entertainment,https://api.hualong.eu.org/api/Smartv.php?id=Rockentertain
Showcase,https://api.hualong.eu.org/api/Smartv.php?id=Showcase_mega
BolaArena 2,https://api.hualong.eu.org/api/Smartv.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,https://api.hualong.eu.org/api/Smartv.php?id=Channel5HD
Channel 5(備用),https://api.hualong.eu.org/api/Smartv.php?id=Ch5_mega
Channel 8,https://api.hualong.eu.org/api/Smartv.php?id=Channel8HD
Channel 8(備用),https://api.hualong.eu.org/api/Smartv.php?id=Ch8_mega
Suria,https://api.hualong.eu.org/api/Smartv.php?id=Suria
Suria(備用),https://api.hualong.eu.org/api/Smartv.php?id=Suria_backup
Channel U,https://api.hualong.eu.org/api/Smartv.php?id=ChannelU
Channel U(備用),https://api.hualong.eu.org/api/Smartv.php?id=ChU_mega
Vasantham,https://api.hualong.eu.org/api/Smartv.php?id=Vasantham
Vasantham(備用),https://api.hualong.eu.org/api/Smartv.php?id=Vasantham_mega
CNA,https://api.hualong.eu.org/api/Smartv.php?id=cna
CNA(備用),https://api.hualong.eu.org/api/Smartv.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,https://api.hualong.eu.org/api/Smartv.php?id=TVRI
RCTI,https://api.hualong.eu.org/api/Smartv.php?id=Rcti
Kompass TV,https://api.hualong.eu.org/api/Smartv.php?id=Kompass
Berita Satu,https://api.hualong.eu.org/api/Smartv.php?id=BeritaSatu_eko
Indosiar HD,https://api.hualong.eu.org/api/Smartv.php?id=Indosiar
AnTV,https://api.hualong.eu.org/api/Smartv.php?id=Antv
MNC TV,https://api.hualong.eu.org/api/Smartv.php?id=Mnctv
Trans 7,https://api.hualong.eu.org/api/Smartv.php?id=Trans7_eko
Transtv,https://api.hualong.eu.org/api/Smartv.php?id=Transtv
JTV,https://api.hualong.eu.org/api/Smartv.php?id=JTV_eko
Metro TV,https://api.hualong.eu.org/api/Smartv.php?id=metrotv_eko
Cinemax,https://api.hualong.eu.org/api/Smartv.php?id=Cinemax
SCTV,https://api.hualong.eu.org/api/Smartv.php?id=SCTV
Tvone,https://api.hualong.eu.org/api/Smartv.php?id=Tvone
TVMU,https://api.hualong.eu.org/api/Smartv.php?id=TVMU_eko
GTV,https://api.hualong.eu.org/api/Smartv.php?id=Gtv
RTV,https://api.hualong.eu.org/api/Smartv.php?id=Rtv
Jak TV,https://api.hualong.eu.org/api/Smartv.php?id=JakTV
iNews TV,https://api.hualong.eu.org/api/Smartv.php?id=Inewstv
Daai TV,https://api.hualong.eu.org/api/Smartv.php?id=DaaiTV
Net TV,https://api.hualong.eu.org/api/Smartv.php?id=NetTV
Animax,https://api.hualong.eu.org/api/Smartv.php?id=Animax
EWTN,https://api.hualong.eu.org/api/Smartv.php?id=Ewtn
AlQuran AlKareem,https://api.hualong.eu.org/api/Smartv.php?id=AlQuran
Tawaf TV,https://api.hualong.eu.org/api/Smartv.php?id=TawafTV
Vision Prime,https://api.hualong.eu.org/api/Smartv.php?id=VisionPrime
Muslim TV,https://api.hualong.eu.org/api/Smartv.php?id=MuslimTV
Music TV,https://api.hualong.eu.org/api/Smartv.php?id=MusicTV
Lifestyle&Fashion,https://api.hualong.eu.org/api/Smartv.php?id=Lifestyle
Entertain,https://api.hualong.eu.org/api/Smartv.php?id=Entertain
Hits,https://api.hualong.eu.org/api/Smartv.php?id=Hits
Warner TV,https://api.hualong.eu.org/api/Smartv.php?id=WarnerTV
SCM,https://api.hualong.eu.org/api/Smartv.php?id=Weishimovie
Thrill,https://api.hualong.eu.org/api/Smartv.php?id=Thrill
Fight Sports,https://api.hualong.eu.org/api/Smartv.php?id=Fs
Beinsports 2 HD,https://api.hualong.eu.org/api/Smartv.php?id=Bein2hd
Hits Movie,https://api.hualong.eu.org/api/Smartv.php?id=Hitsmovie
One,https://api.hualong.eu.org/api/Smartv.php?id=One_mega
tvN Movie,https://api.hualong.eu.org/api/Smartv.php?id=Tvnmovie
Celestial Movies HD,https://api.hualong.eu.org/api/Smartv.php?id=Celestialindo
Rock Actions,https://api.hualong.eu.org/api/Smartv.php?id=Rockaction
Rock Entertainment,https://api.hualong.eu.org/api/Smartv.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),https://api.hualong.eu.org/api/Smartv.php?id=j2_hkdavid
J2,https://api.hualong.eu.org/api/Smartv.php?id=j2_twn
RHK 31,https://api.hualong.eu.org/api/Smartv.php?id=rhk31_twn
RHK 32,https://api.hualong.eu.org/api/Smartv.php?id=rhk32_twn
TVB 星河,https://api.hualong.eu.org/api/Smartv.php?id=tvbxinhe_twn
VIUTV1,https://api.hualong.eu.org/api/Smartv.php?id=viu1_twn
Viu TV 69,https://api.hualong.eu.org/api/Smartv.php?id=viutv69_hkdavid
Viu6,https://api.hualong.eu.org/api/Smartv.php?id=viusix_twn
iNews 新聞台,https://api.hualong.eu.org/api/Smartv.php?id=inews_twn
無線財經資訊台,https://api.hualong.eu.org/api/Smartv.php?id=tvbcaijing_twn
珍珠台(備用),https://api.hualong.eu.org/api/Smartv.php?id=pearl_hkdavid
珍珠台,https://api.hualong.eu.org/api/Smartv.php?id=pearl_twn
翡翠台(備用),https://api.hualong.eu.org/api/Smartv.php?id=jade_mike
翡翠台,https://api.hualong.eu.org/api/Smartv.php?id=jade_twn
鳳凰衛視,https://api.hualong.eu.org/api/Smartv.php?id=phoenixtv_hd
鳳凰資訊,https://api.hualong.eu.org/api/Smartv.php?id=phoenixinfo_hd
鳳凰香港,https://api.hualong.eu.org/api/Smartv.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,https://api.hualong.eu.org/api/Smartv.php?id=cctv1
CCTV-2,https://api.hualong.eu.org/api/Smartv.php?id=cctv2
CCTV-3,https://api.hualong.eu.org/api/Smartv.php?id=cctv3
CCTV-4,https://api.hualong.eu.org/api/Smartv.php?id=cctv4
CCTV-4 ,https://api.hualong.eu.org/api/Smartv.php?id=Cctv4
CCTV-5,https://api.hualong.eu.org/api/Smartv.php?id=cctv5
CCTV-5+,https://api.hualong.eu.org/api/Smartv.php?id=cctv5plus
CCTV-6,https://api.hualong.eu.org/api/Smartv.php?id=cctv6
CCTV-7,https://api.hualong.eu.org/api/Smartv.php?id=cctv7
CCTV-8,https://api.hualong.eu.org/api/Smartv.php?id=cctv8hd
CCTV-9,https://api.hualong.eu.org/api/Smartv.php?id=cctv9hd
CCTV-10,https://api.hualong.eu.org/api/Smartv.php?id=cctv10hd
CCTV-11,https://api.hualong.eu.org/api/Smartv.php?id=cctv11
CCTV-12,https://api.hualong.eu.org/api/Smartv.php?id=cctv12
CCTV-13,https://api.hualong.eu.org/api/Smartv.php?id=cctv13
CCTV-14,https://api.hualong.eu.org/api/Smartv.php?id=cctv14
CCTV-15,https://api.hualong.eu.org/api/Smartv.php?id=cctv15
CCTV-16,https://api.hualong.eu.org/api/Smartv.php?id=cctv16
CCTV-17,https://api.hualong.eu.org/api/Smartv.php?id=cctv17
湖南衛視,https://api.hualong.eu.org/api/Smartv.php?id=hunan_twn
江蘇衛視,https://api.hualong.eu.org/api/Smartv.php?id=jiangsu_twn
深圳衛視,https://api.hualong.eu.org/api/Smartv.php?id=shenzhen
大灣區衛視,https://api.hualong.eu.org/api/Smartv.php?id=nanfang_twn
廣東衛視,https://api.hualong.eu.org/api/Smartv.php?id=guangdongweishi_twn
北京衛視,https://api.hualong.eu.org/api/Smartv.php?id=beijing
廣東珠江,https://api.hualong.eu.org/api/Smartv.php?id=zhujiang
廣西衛視,https://api.hualong.eu.org/api/Smartv.php?id=guangxi
湖北衛視,https://api.hualong.eu.org/api/Smartv.php?id=hubei
四川衛視,https://api.hualong.eu.org/api/Smartv.php?id=sichuan_twn
鳳凰衛視,https://api.hualong.eu.org/api/Smartv.php?id=phoenixtv_hd
東方衛視,https://api.hualong.eu.org/api/Smartv.php?id=dongfangweishi_twn
CGTN,https://api.hualong.eu.org/api/Smartv.php?id=CGTN
鳳凰資訊,https://api.hualong.eu.org/api/Smartv.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,https://api.hualong.eu.org/api/Smartv.php?id=Assp1
Supersports 1(備用),https://api.hualong.eu.org/api/Smartv.php?id=go_assp1
Supersportq 1(備用2),https://api.hualong.eu.org/api/Smartv.php?id=Assp1_mega
Supersports 2,https://api.hualong.eu.org/api/Smartv.php?id=Assp2
Supersports 2(備用),https://api.hualong.eu.org/api/Smartv.php?id=go_assp2
Supersports 3,https://api.hualong.eu.org/api/Smartv.php?id=Assp3
Supersports 3(備用),https://api.hualong.eu.org/api/Smartv.php?id=go_assp3
Supersports 3(備用2),https://api.hualong.eu.org/api/Smartv.php?id=Assp3_mega
Supersports 4,https://api.hualong.eu.org/api/Smartv.php?id=Assp4_mega
Supersports 4(備用),https://api.hualong.eu.org/api/Smartv.php?id=go_assp4
Supersports 5,https://api.hualong.eu.org/api/Smartv.php?id=go_assp5
Bein 2HD,https://api.hualong.eu.org/api/Smartv.php?id=Beinhd
Beinsports HD,https://api.hualong.eu.org/api/Smartv.php?id=Besports
Champion 5 EPL,https://api.hualong.eu.org/api/Smartv.php?id=Champion5epl
WWE,https://api.hualong.eu.org/api/Smartv.php?id=Wwe
Champion 6 EPL,https://api.hualong.eu.org/api/Smartv.php?id=Champion6epl
Fight Sports,https://api.hualong.eu.org/api/Smartv.php?id=Fs
UFC Network,https://api.hualong.eu.org/api/Smartv.php?id=ufc_mega
NBA TV,https://api.hualong.eu.org/api/Smartv.php?id=nbatv_twn
Astro Cricket,https://api.hualong.eu.org/api/Smartv.php?id=Acricket_mega
Astro Golf,https://api.hualong.eu.org/api/Smartv.php?id=Agolf
TNT Sports 1,https://api.hualong.eu.org/api/Smartv.php?id=beeone
TNT Sports 2,https://api.hualong.eu.org/api/Smartv.php?id=beetwo
TNT Sports 3,https://api.hualong.eu.org/api/Smartv.php?id=beethree
TNT Sports 4,https://api.hualong.eu.org/api/Smartv.php?id=beefour
Sony Ten 1,https://api.hualong.eu.org/api/Smartv.php?id=ten1_raj
Sony Ten 2,https://api.hualong.eu.org/api/Smartv.php?id=ten2_raj
Sony Ten 3,https://api.hualong.eu.org/api/Smartv.php?id=ten3_raj
SPOTV 1 HD,https://api.hualong.eu.org/api/Smartv.php?id=go_spotv
SPO TV 2,https://api.hualong.eu.org/api/Smartv.php?id=go_spotv2
Beinsports 2 HD,https://api.hualong.eu.org/api/Smartv.php?id=Bein2hd
Skysports Arena,https://api.hualong.eu.org/api/Smartv.php?id=tiankongarena
Skysports F1,https://api.hualong.eu.org/api/Smartv.php?id=tiankongf1
Skysports Cricket,https://api.hualong.eu.org/api/Smartv.php?id=tiankongcricket
Skysports EPL,https://api.hualong.eu.org/api/Smartv.php?id=tiankongepl
Skysports Football,https://api.hualong.eu.org/api/Smartv.php?id=tiankongfootball
Skysports Golf,https://api.hualong.eu.org/api/Smartv.php?id=tiankonggolf
Skysports Main Event,https://api.hualong.eu.org/api/Smartv.php?id=tiankongmain
Skysports News,https://api.hualong.eu.org/api/Smartv.php?id=tiankongnews
Skysports NFL,https://api.hualong.eu.org/api/Smartv.php?id=tiankongnfl
Skysports Racing,https://api.hualong.eu.org/api/Smartv.php?id=tiankongracing
Skysports Mix,https://api.hualong.eu.org/api/Smartv.php?id=tiankongmix
CCTV-5,https://api.hualong.eu.org/api/Smartv.php?id=cctv5
CCTV-5+,https://api.hualong.eu.org/api/Smartv.php?id=cctv5plus
愛爾達體育2台,https://api.hualong.eu.org/api/Smartv.php?id=eltasport2_twn
愛爾達體育3台,https://api.hualong.eu.org/api/Smartv.php?id=eltasport3_twn
RTM Sports HD,https://api.hualong.eu.org/api/Smartv.php?id=Rtmsport
Arena,https://api.hualong.eu.org/api/Smartv.php?id=Arena
Arena 2,https://api.hualong.eu.org/api/Smartv.php?id=Arena2
BolaArena 1,https://api.hualong.eu.org/api/Smartv.php?id=Bolaarena1
Bein 1 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein1_mega
Bein 2 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein2_mega
Bein 3 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein3_mega
Bein 4 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein4_mega
Bein 5 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein5_mega
Bein 6 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein6_mega
Bein 7 Sports,https://api.hualong.eu.org/api/Smartv.php?id=bein7_mega
Rugby Pass TV,https://api.hualong.eu.org/api/Smartv.php?id=Rugbypasstv
BolaArena 2,https://api.hualong.eu.org/api/Smartv.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,https://api.hualong.eu.org/api/Smartv.php?id=Suntv
Star Vijay,https://api.hualong.eu.org/api/Smartv.php?id=Starvijay
Colors Tamil,https://api.hualong.eu.org/api/Smartv.php?id=Colorstam_mega
Sun Music,https://api.hualong.eu.org/api/Smartv.php?id=Sunmusic
Astro Sunlife,https://api.hualong.eu.org/api/Smartv.php?id=Sunlife
Astro Vaanavil,https://api.hualong.eu.org/api/Smartv.php?id=Vaanavil
Zee Tamil,https://api.hualong.eu.org/api/Smartv.php?id=Zeetamil
Zee Business,https://api.hualong.eu.org/api/Smartv.php?id=Zeebusiness
News 18 Tamil,https://api.hualong.eu.org/api/Smartv.php?id=news18tamil_raj
Adithya,https://api.hualong.eu.org/api/Smartv.php?id=Adithya
Makkal TV,https://api.hualong.eu.org/api/Smartv.php?id=Makkaltv
Zee Action,https://api.hualong.eu.org/api/Smartv.php?id=Zeeaction
Astro KTV,https://api.hualong.eu.org/api/Smartv.php?id=Astroktv
Zee TV HD,https://api.hualong.eu.org/api/Smartv.php?id=Zeetvhd
Zee Cinema HD,https://api.hualong.eu.org/api/Smartv.php?id=Zeecinemahd
Color HD,https://api.hualong.eu.org/api/Smartv.php?id=Colorhd
Starplus HD,https://api.hualong.eu.org/api/Smartv.php?id=Starplushd
Picture HD,https://api.hualong.eu.org/api/Smartv.php?id=Npicture
Zee News,https://api.hualong.eu.org/api/Smartv.php?id=Zeenews
Asianet,https://api.hualong.eu.org/api/Smartv.php?id=asianet_raj
Asianet News,https://api.hualong.eu.org/api/Smartv.php?id=asianetnews_raj
Times Now,https://api.hualong.eu.org/api/Smartv.php?id=timesnow_mega
BBC Earth Tamil,https://api.hualong.eu.org/api/Smartv.php?id=bbcearthtam_raj
Discovery World Tamil,https://api.hualong.eu.org/api/Smartv.php?id=discoveryworldtam_raj
History Tamil,https://api.hualong.eu.org/api/Smartv.php?id=historytam_raj
NatGeo Tamil,https://api.hualong.eu.org/api/Smartv.php?id=natgeotamil_raj
Natgeo Wild Tamil,https://api.hualong.eu.org/api/Smartv.php?id=natgeowildtamil_raj
Discovery Kids Tamil,https://api.hualong.eu.org/api/Smartv.php?id=discoverykidtamil_raj
Discovery Tamil,https://api.hualong.eu.org/api/Smartv.php?id=discoverytamil_raj
Sony Yay Tamil,https://api.hualong.eu.org/api/Smartv.php?id=sonyyaytam_raj
Sun TV India,https://api.hualong.eu.org/api/Smartv.php?id=suntv_raj
Starmaa HD,https://api.hualong.eu.org/api/Smartv.php?id=starmaa_raj
Starmaa Movies HD,https://api.hualong.eu.org/api/Smartv.php?id=starmaamovies_raj
Bollyone,https://api.hualong.eu.org/api/Smartv.php?id=Bollyone
Astro Sunmusic,https://api.hualong.eu.org/api/Smartv.php?id=Sunmusic
Sony Pix HD,https://api.hualong.eu.org/api/Smartv.php?id=sonypix_mega
Vijay Super,https://api.hualong.eu.org/api/Smartv.php?id=vijaysuper_raj
電影 Movie,#genre#
AXN,https://api.hualong.eu.org/api/Smartv.php?id=axn_twn
